@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute outputs-1 numeric

@data
11,'2019/09/19 12:25:02:398',1,-16644862,-16447483,-16184312,-15723504,-15329002,-15394538,-15591661,-10854818,-7958639,-7628645,-16579070,-16250361,-15723761,-14670816,-14144729,-14473437,-14933988,-10658211,-6578272,-6314070,-16381948,-15921397,-14934502,-13355470,-12829125,-13552593,-14210266,-10790311,-5526610,-5064773,-16184569,-15461103,-13882071,-12369344,-12040636,-12895177,-13684436,-11316655,-4869450,-3947575,-15329517,-14868967,-12698309,-11054254,-10791598,-12172224,-13223884,-11711156,-4343617,-3157800,-9673885,-13356755,-12698567,-8818319,-8949907,-8489353,-8422785,-10723488,-3356719,-2170646,-7108727,-7176579,-6585987,-5468794,-4811377,-4152159,-3624268,-4411726,-5462614,-5066311,-8885146,-3884098,-592906,-527115,-2305585,-5269872,-6785944,-8166825,-14213606,-14146007,-9673892,-2370346,-724238,-258,-66055,-199185,-11253435,-15330541,-11517633,-12635085,-8093823,-10989487,-11518407,-9741742,-6122359,-10131586,-12102791,-14211278,-9150890,-9938603,1
12,'2019/09/19 12:25:02:431',1,-16644863,-16447483,-16184312,-15723760,-15329002,-15394538,-15591661,-10854819,-7958639,-7628645,-16579070,-16250361,-15723761,-14670816,-14210265,-14473438,-14933732,-10658211,-6578272,-6314070,-16381948,-15921397,-14934502,-13355726,-12829126,-13552593,-14210267,-10856103,-5461074,-5064773,-16184569,-15460847,-13882071,-12434880,-12040637,-12895433,-13684436,-11316655,-4803914,-4012855,-15395310,-14869223,-12632517,-11054255,-10791598,-12172224,-13223884,-11711156,-4343618,-3092264,-9739421,-13422291,-12698823,-8818063,-8949907,-8554889,-8423041,-10723488,-3422256,-2105110,-7108728,-7242115,-6585988,-5468795,-4745585,-4086365,-3558476,-4411726,-5462614,-5066311,-8885146,-3883842,-592906,-592909,-2371379,-5270129,-6785944,-8167082,-14213863,-14211800,-9608355,-2304810,-724238,-65794,-66055,-199185,-11319485,-15330542,-11517633,-12700621,-8093823,-10923694,-11386822,-9610156,-6056565,-10131586,-12168585,-14211278,-9085354,-9938602,1
13,'2019/09/19 12:25:02:464',1,-16644862,-16447483,-16184312,-15723760,-15329002,-15394539,-15591661,-10920355,-7958639,-7563109,-16579070,-16250361,-15723761,-14605280,-14144729,-14473438,-14933988,-10724003,-6578272,-6314071,-16381948,-15921397,-14934502,-13355726,-12829125,-13552594,-14210266,-10921640,-5526611,-5064773,-16184569,-15526639,-13882071,-12434879,-12040636,-12895177,-13684436,-11316656,-4869706,-4012855,-15395310,-14869223,-12698053,-11054255,-10791598,-12237760,-13223884,-11776692,-4343618,-3157800,-9739164,-13422035,-12698824,-8818319,-8949907,-8489353,-8422785,-10723744,-3422256,-2170647,-7174264,-7242116,-6651781,-5403002,-4745328,-4086365,-3558475,-4411726,-5462614,-5066311,-8885146,-3949634,-593162,-593165,-2437172,-5335665,-6785688,-8232618,-14279399,-14211801,-9673892,-2370346,-724238,-258,-66055,-199185,-11319485,-15330542,-11517634,-12700877,-8028287,-10857901,-11321285,-9544363,-5990773,-10065793,-12168585,-14211278,-9150891,-9938602,1
14,'2019/09/19 12:25:02:498',1,-16644862,-16447483,-16184312,-15723760,-15329002,-15394539,-15591661,-10920355,-7958639,-7563109,-16579070,-16250361,-15723761,-14605280,-14144729,-14473438,-14933988,-10724003,-6578272,-6314071,-16381948,-15921397,-14934502,-13355726,-12829125,-13552594,-14210266,-10921640,-5526611,-5064773,-16184569,-15526639,-13882071,-12434879,-12040636,-12895177,-13684436,-11316656,-4869706,-4012855,-15395310,-14869223,-12698053,-11054255,-10791598,-12237760,-13223884,-11776692,-4343618,-3157800,-9739164,-13422035,-12698824,-8818319,-8949907,-8489353,-8422785,-10723744,-3422256,-2170647,-7174264,-7242116,-6651781,-5403002,-4745328,-4086365,-3558475,-4411726,-5462614,-5066311,-8885146,-3949634,-593162,-593165,-2437172,-5335665,-6785688,-8232618,-14279399,-14211801,-9673892,-2370346,-724238,-258,-66055,-199185,-11319485,-15330542,-11517634,-12700877,-8028287,-10857901,-11321285,-9544363,-5990773,-10065793,-12168585,-14211278,-9150891,-9938602,1
15,'2019/09/19 12:25:02:530',1,-16644862,-16447483,-16184312,-15723760,-15394538,-15394538,-15591661,-10920355,-7958639,-7563109,-16579070,-16315897,-15723761,-14670816,-14144729,-14473437,-14933732,-10723746,-6578272,-6314071,-16381948,-15921397,-14934502,-13421262,-12829125,-13552593,-14210267,-10856103,-5526611,-5064773,-16184569,-15526639,-13882071,-12434880,-12040380,-12895433,-13684436,-11316656,-4869705,-4012855,-15395310,-14934759,-12698053,-11054255,-10791598,-12237760,-13223884,-11776692,-4343617,-3157800,-9739165,-13356755,-12698567,-8818063,-8949907,-8489353,-8423041,-10723488,-3422000,-2170646,-7108727,-7242115,-6651781,-5403002,-4745328,-4086364,-3558474,-4411726,-5462614,-5066311,-8885146,-3884098,-593162,-658702,-2437428,-5335665,-6720151,-8232618,-14279399,-14211544,-9673892,-2304810,-724238,-258,-66055,-199185,-11450814,-15330542,-11517634,-12700622,-8028030,-10857900,-11321028,-9478570,-5859187,-10131329,-12168842,-14211279,-9150890,-9938602,1
16,'2019/09/19 12:25:02:565',1,-16644863,-16447484,-16184312,-15723760,-15329002,-15394538,-15657197,-10854818,-7958639,-7563109,-16579070,-16250361,-15723761,-14605280,-14144729,-14473437,-14933732,-10658210,-6578273,-6314070,-16381948,-15921397,-14934502,-13355726,-12763589,-13552850,-14210267,-10856103,-5526611,-5064773,-16184569,-15526640,-13882071,-12369344,-12040380,-12895433,-13684180,-11316655,-4869706,-3947318,-15395310,-14934759,-12698053,-11054254,-10791598,-12237761,-13223884,-11711156,-4278081,-3092264,-9739421,-13422290,-12698568,-8818062,-8949907,-8489353,-8423041,-10723488,-3356463,-2105110,-7108472,-7242115,-6651781,-5403002,-4679792,-4086108,-3558474,-4346189,-5462614,-5066311,-8819609,-3883841,-593162,-658702,-2437428,-5335666,-6720151,-8167081,-14213863,-14211544,-9608099,-2304810,-724238,-65794,-66055,-199185,-11319228,-15330541,-11583426,-12700621,-8028287,-10857900,-11255235,-9412777,-5859186,-10065792,-12168585,-14277071,-9150890,-9938602,1
17,'2019/09/19 12:25:02:600',1,-16644862,-16447483,-16184312,-15723504,-15394538,-15394538,-15591661,-10920355,-7958639,-7563109,-16579070,-16250361,-15723761,-14605280,-14144729,-14473438,-14933732,-10724003,-6578272,-6314071,-16381948,-15921397,-14934502,-13355727,-12829126,-13552593,-14210267,-10921639,-5526611,-5064773,-16184569,-15461104,-13882071,-12369343,-12040636,-12895433,-13618900,-11316655,-4869706,-4012855,-15395309,-14934503,-12698053,-11054255,-10857134,-12172224,-13223884,-11776692,-4343617,-3092264,-9673884,-13422291,-12698824,-8818319,-8949907,-8554889,-8422785,-10723488,-3422256,-2170646,-7108472,-7241859,-6717317,-5403002,-4679535,-4086364,-3492938,-4411469,-5462614,-5066311,-8885146,-3949634,-593162,-658701,-2437428,-5270129,-6720151,-8035496,-14213863,-14211800,-9608356,-2370346,-724238,-258,-66054,-199185,-11121849,-15330542,-11648963,-12635085,-8028030,-10792108,-11321028,-9478313,-5859186,-10065792,-12102791,-14342607,-9151147,-9938602,1
18,'2019/09/19 12:25:02:631',1,-16644862,-16447483,-16184312,-15723504,-15394538,-15394538,-15591661,-10920355,-7958639,-7563109,-16579070,-16250361,-15723761,-14605280,-14144729,-14473438,-14933732,-10724003,-6578272,-6314071,-16381948,-15921397,-14934502,-13355727,-12829126,-13552593,-14210267,-10921639,-5526611,-5064773,-16184569,-15461104,-13882071,-12369343,-12040636,-12895433,-13618900,-11316655,-4869706,-4012855,-15395309,-14934503,-12698053,-11054255,-10857134,-12172224,-13223884,-11776692,-4343617,-3092264,-9673884,-13422291,-12698824,-8818319,-8949907,-8554889,-8422785,-10723488,-3422256,-2170646,-7108472,-7241859,-6717317,-5403002,-4679535,-4086364,-3492938,-4411469,-5462614,-5066311,-8885146,-3949634,-593162,-658701,-2437428,-5270129,-6720151,-8035496,-14213863,-14211800,-9608356,-2370346,-724238,-258,-66054,-199185,-11121849,-15330542,-11648963,-12635085,-8028030,-10792108,-11321028,-9478313,-5859186,-10065792,-12102791,-14342607,-9151147,-9938602,1
19,'2019/09/19 12:25:02:665',1,-16644862,-16447484,-16184312,-15723760,-15394538,-15460074,-15591661,-10854818,-7958639,-7563109,-16579070,-16250361,-15723761,-14670816,-14144729,-14473438,-14933732,-10658210,-6578272,-6314070,-16447484,-15921397,-14934502,-13421262,-12829125,-13552850,-14210267,-10856103,-5526611,-5064773,-16250105,-15461103,-13882071,-12434880,-12040637,-12895433,-13684436,-11316655,-4869450,-4012855,-15395310,-14868967,-12698053,-11054511,-10857135,-12172225,-13289420,-11711156,-4343361,-3092264,-9739421,-13422291,-12698824,-8818318,-8949907,-8489353,-8422785,-10723488,-3422256,-2170647,-7108471,-7241859,-6651780,-5468538,-4679791,-4151901,-3558475,-4346189,-5462614,-5066054,-8819609,-3883842,-593162,-592908,-2371379,-5335664,-6785944,-7903910,-14148070,-14146007,-9608355,-2304810,-724238,-65794,-66055,-199185,-10858677,-15264749,-11846085,-12503243,-8094080,-10857901,-11386822,-9610156,-5924980,-10065793,-11971204,-14474192,-9282219,-9872810,1
20,'2019/09/19 12:25:02:697',1,-16644862,-16447484,-16184312,-15723760,-15394538,-15460074,-15591661,-10854818,-7958639,-7563109,-16579070,-16250361,-15723761,-14670816,-14144729,-14473438,-14933732,-10658210,-6578272,-6314070,-16447484,-15921397,-14934502,-13421262,-12829125,-13552850,-14210267,-10856103,-5526611,-5064773,-16250105,-15461103,-13882071,-12434880,-12040637,-12895433,-13684436,-11316655,-4869450,-4012855,-15395310,-14868967,-12698053,-11054511,-10857135,-12172225,-13289420,-11711156,-4343361,-3092264,-9739421,-13422291,-12698824,-8818318,-8949907,-8489353,-8422785,-10723488,-3422256,-2170647,-7108471,-7241859,-6651780,-5468538,-4679791,-4151901,-3558475,-4346189,-5462614,-5066054,-8819609,-3883842,-593162,-592908,-2371379,-5335664,-6785944,-7903910,-14148070,-14146007,-9608355,-2304810,-724238,-65794,-66055,-199185,-10858677,-15264749,-11846085,-12503243,-8094080,-10857901,-11386822,-9610156,-5924980,-10065793,-11971204,-14474192,-9282219,-9872810,1
